FECHA,Accidentes,Capped
2014-07-04,23,47.5
2014-07-05,115,115.0
2014-07-06,74,74.0
2014-07-07,164,164.0
2014-07-08,116,116.0
2014-07-09,115,115.0
2014-07-10,113,113.0
2014-07-11,93,93.0
2014-07-12,99,99.0
2014-07-13,65,65.0
2014-07-14,131,131.0
2014-07-15,133,133.0
2014-07-16,120,120.0
2014-07-17,104,104.0
2014-07-18,119,119.0
2014-07-19,118,118.0
2014-07-20,79,79.0
2014-07-21,126,126.0
2014-07-22,120,120.0
2014-07-23,125,125.0
2014-07-24,114,114.0
2014-07-25,127,127.0
2014-07-26,126,126.0
2014-07-27,62,62.0
2014-07-28,141,141.0
2014-07-29,111,111.0
2014-07-30,120,120.0
2014-07-31,120,120.0
2014-08-01,129,129.0
2014-08-02,126,126.0
2014-08-03,87,87.0
2014-08-04,138,138.0
2014-08-05,136,136.0
2014-08-06,162,162.0
2014-08-07,70,70.0
2014-08-08,152,152.0
2014-08-09,101,101.0
2014-08-10,87,87.0
2014-08-11,108,108.0
2014-08-12,108,108.0
2014-08-13,125,125.0
2014-08-14,135,135.0
2014-08-15,144,144.0
2014-08-16,111,111.0
2014-08-17,66,66.0
2014-08-18,55,55.0
2014-08-19,113,113.0
2014-08-20,116,116.0
2014-08-21,105,105.0
2014-08-22,112,112.0
2014-08-23,128,128.0
2014-08-24,72,72.0
2014-08-25,125,125.0
2014-08-26,127,127.0
2014-08-27,90,90.0
2014-08-28,133,133.0
2014-08-29,123,123.0
2014-08-30,117,117.0
2014-08-31,83,83.0
2014-09-01,116,116.0
2014-09-02,81,81.0
2014-09-03,118,118.0
2014-09-04,117,117.0
2014-09-05,129,129.0
2014-09-06,102,102.0
2014-09-07,67,67.0
2014-09-08,126,126.0
2014-09-09,108,108.0
2014-09-10,129,129.0
2014-09-11,157,157.0
2014-09-12,135,135.0
2014-09-13,102,102.0
2014-09-14,92,92.0
2014-09-15,123,123.0
2014-09-16,128,128.0
2014-09-17,135,135.0
2014-09-18,145,145.0
2014-09-19,132,132.0
2014-09-20,113,113.0
2014-09-21,93,93.0
2014-09-22,113,113.0
2014-09-23,124,124.0
2014-09-24,104,104.0
2014-09-25,112,112.0
2014-09-26,127,127.0
2014-09-27,111,111.0
2014-09-28,71,71.0
2014-09-29,121,121.0
2014-09-30,142,142.0
2014-10-01,112,112.0
2014-10-02,106,106.0
2014-10-03,113,113.0
2014-10-04,131,131.0
2014-10-05,98,98.0
2014-10-06,109,109.0
2014-10-07,108,108.0
2014-10-08,95,95.0
2014-10-09,114,114.0
2014-10-10,104,104.0
2014-10-11,112,112.0
2014-10-12,57,57.0
2014-10-13,64,64.0
2014-10-14,142,142.0
2014-10-15,111,111.0
2014-10-16,104,104.0
2014-10-17,118,118.0
2014-10-18,104,104.0
2014-10-19,83,83.0
2014-10-20,97,97.0
2014-10-21,114,114.0
2014-10-22,145,145.0
2014-10-23,121,121.0
2014-10-24,115,115.0
2014-10-25,124,124.0
2014-10-26,80,80.0
2014-10-27,106,106.0
2014-10-28,110,110.0
2014-10-29,132,132.0
2014-10-30,125,125.0
2014-10-31,124,124.0
2014-11-01,105,105.0
2014-11-02,64,64.0
2014-11-03,59,59.0
2014-11-04,110,110.0
2014-11-05,129,129.0
2014-11-06,110,110.0
2014-11-07,134,134.0
2014-11-08,105,105.0
2014-11-09,70,70.0
2014-11-10,121,121.0
2014-11-11,113,113.0
2014-11-12,120,120.0
2014-11-13,103,103.0
2014-11-14,122,122.0
2014-11-15,136,136.0
2014-11-16,77,77.0
2014-11-17,76,76.0
2014-11-18,106,106.0
2014-11-19,117,117.0
2014-11-20,113,113.0
2014-11-21,134,134.0
2014-11-22,112,112.0
2014-11-23,76,76.0
2014-11-24,115,115.0
2014-11-25,132,132.0
2014-11-26,112,112.0
2014-11-27,128,128.0
2014-11-28,136,136.0
2014-11-29,113,113.0
2014-11-30,80,80.0
2014-12-01,121,121.0
2014-12-02,114,114.0
2014-12-03,133,133.0
2014-12-04,103,103.0
2014-12-05,141,141.0
2014-12-06,124,124.0
2014-12-07,91,91.0
2014-12-08,72,72.0
2014-12-09,130,130.0
2014-12-10,103,103.0
2014-12-11,115,115.0
2014-12-12,129,129.0
2014-12-13,96,96.0
2014-12-14,91,91.0
2014-12-15,105,105.0
2014-12-16,135,135.0
2014-12-17,125,125.0
2014-12-18,138,138.0
2014-12-19,125,125.0
2014-12-20,112,112.0
2014-12-21,94,94.0
2014-12-22,129,129.0
2014-12-23,128,128.0
